id,code,discount_percentage,expiration_date
1,PROMO001,10,2025-10-27
2,PROMO002,10,2026-03-28
3,PROMO003,25,2026-04-05
4,PROMO004,20,2025-10-24
5,PROMO005,5,2024-10-17
6,PROMO006,10,2024-11-11
7,PROMO007,5,2025-02-20
8,PROMO008,5,2024-11-09
9,PROMO009,25,2025-06-20
10,PROMO010,10,2026-04-21
11,PROMO011,20,2024-08-11
12,PROMO012,20,2024-08-26
13,PROMO013,20,2025-11-02
14,PROMO014,15,2026-06-04
15,PROMO015,10,2026-05-31
16,PROMO016,15,2024-10-19
17,PROMO017,15,2025-06-03
18,PROMO018,15,2025-10-23
19,PROMO019,25,2026-03-16
20,PROMO020,25,2026-03-07
