review_id,order_id,customer_id,restaurant_id,courier_id,rating,language,review_text,review_date
1,1,44,4,20,2,en,Order was late and the courier never called when they couldn't find our building. Diavola was barely warm.,2024-04-09
2,2,42,18,57,5,en,"Fast delivery and the Penne Arrabbiata arrived perfectly hot. Great job Hensley, Johnson and Adams!",2023-04-12
3,3,140,14,97,3,en,"Delivery took about as long as the app estimated. order tasted fine, would order again if nothing closer is open.",2022-05-06
4,4,146,44,87,1,en,The Mushroom Swiss Burger from Whitaker-Paul was soggy by the time it got to us. Not ordering from here again.,2023-06-20
5,5,113,26,77,2,en,Wrong items in the bag - we ordered Dish and got something else entirely. Refund requested.,2022-01-12
6,6,393,9,98,1,en,"Lowe, Ewing and Short used to be reliable but the last few orders have been late and the Cheesecake portion has shrunk.",2022-11-17
7,7,255,48,56,3,en,"Williams LLC got the order right this time, Tagliatelle al Ragù was okay, packaging could be better.",2022-05-23
8,8,118,33,72,3,en,"The Prosciutto e Funghi from Murphy and Sons was fine, nothing special. Delivery was on time at least.",2024-06-05
9,9,442,48,6,2,en,Disappointed with Williams LLC - the Lentil Soup arrived cold and the order took much longer than promised.,2022-01-22
10,10,295,28,74,5,en,"Best Crème Brûlée in the area, hands down. Combs-Stone never disappoints.",2024-02-17
11,11,59,26,3,2,en,The Dish from Lang PLC was soggy by the time it got to us. Not ordering from here again.,2022-07-09
12,12,471,24,12,1,en,"The Diavola from Bell, Williamson and Duncan was soggy by the time it got to us. Not ordering from here again.",2024-07-16
13,13,302,26,68,4,en,"Five stars. Lang PLC nailed the Fettuccine Alfredo again, still hot and packed carefully. Courier was polite and on time.",2023-03-10
14,14,174,15,43,4,en,The Margherita from Cooper and Sons was excellent and the courier was friendly and quick. Will order again!,2022-03-26
15,15,262,13,100,3,en,Average experience. Dish was decent but a bit pricey for the portion size.,2023-01-22
16,16,53,10,33,3,en,"Delivery took about as long as the app estimated. Dish tasted fine, would order again if nothing closer is open.",2022-07-13
17,17,39,12,99,5,en,"Best Dish in the area, hands down. Cruz, Jackson and Kane never disappoints. Delivery driver even called ahead, nice touch.",2023-06-29
18,18,474,37,83,2,en,Wrong items in the bag - we ordered Dish and got something else entirely. Refund requested.,2024-12-19
19,19,162,10,57,1,en,Order was late and the courier never called when they couldn't find our building. Dish was barely warm.,2023-05-29
20,20,303,4,46,2,en,"The Diavola from Howell Group was soggy by the time it got to us. Not ordering from here again. Had to track down the courier ourselves, no updates on the app.",2022-03-25
21,21,20,4,48,4,en,The Diavola from Howell Group was excellent and the courier was friendly and quick. Will order again!,2022-03-29
22,22,305,33,50,2,en,Wrong items in the bag - we ordered Double Beef Burger and got something else entirely. Refund requested.,2023-10-01
23,23,466,37,84,4,en,"Fast delivery and the Greek Salad arrived perfectly hot. Great job Guzman, Brown and Larsen!",2022-12-22
24,24,78,4,58,3,en,Average experience. Quattro Formaggi was decent but a bit pricey for the portion size.,2024-06-09
25,25,44,33,83,2,en,The Double Beef Burger from Murphy and Sons was soggy by the time it got to us. Not ordering from here again.,2022-02-15
26,26,269,34,79,5,en,Really happy with this order - Vegan Buddha Bowl was fresh and the courier kept us updated the whole way.,2023-02-03
27,27,210,50,44,3,en,"The Dish from Kelly, Harris and Pruitt was fine, nothing special. Delivery was on time at least.",2023-10-18
28,28,169,7,72,4,en,"Fast delivery and the Spaghetti Carbonara arrived perfectly hot. Great job Castaneda, Day and Weaver! Courier was polite and on time.",2023-02-28
29,29,437,43,78,4,en,"Five stars. Arnold, Montgomery and Doyle nailed the Dish again, still hot and packed carefully. Delivery driver even called ahead, nice touch.",2023-01-03
30,30,159,42,90,5,en,Really happy with this order - BBQ Burger was fresh and the courier kept us updated the whole way.,2023-03-09
31,31,287,25,83,3,en,"The Tagliatelle al Ragù from Hill-Mckay was fine, nothing special. Delivery was on time at least.",2024-06-10
32,32,331,43,55,3,en,"Delivery took about as long as the app estimated. Penne Arrabbiata tasted fine, would order again if nothing closer is open.",2023-02-01
33,33,93,14,44,4,en,"Five stars. Jensen-Watkins nailed the order again, still hot and packed carefully.",2022-08-01
34,34,40,19,13,1,en,"Order was late and the courier never called when they couldn't find our building. BBQ Burger was barely warm. Had to track down the courier ourselves, no updates on the app.",2024-04-25
35,35,339,22,99,4,en,"Five stars. Sanders, Smith and Smith nailed the Spaghetti Carbonara again, still hot and packed carefully.",2022-05-25
36,36,84,12,89,5,en,Really happy with this order - Ravioli Ricotta e Spinaci was fresh and the courier kept us updated the whole way.,2024-06-07
37,37,225,3,53,5,en,"Fast delivery and the Fettuccine Alfredo arrived perfectly hot. Great job Garcia, Pena and Adams! Delivery driver even called ahead, nice touch.",2024-01-15
38,38,313,19,97,1,en,The BBQ Burger from Thomas-Williamson was soggy by the time it got to us. Not ordering from here again.,2022-09-15
39,39,495,31,25,4,en,"Five stars. Johnson, Roberts and Smith nailed the Dish again, still hot and packed carefully.",2024-01-14
